metabolite,name,coefficient,formula,formula_weight (g/mol),weight_contribution (g),carbon_content (mol C/mol biomass)
10fthf_c,10-Formyltetrahydrofolate,-0.000223,C20H21N7O7,471.42344,0.00010512742712000001,0.00446
2dmmql8_c,2-Demethylmenaquinol 8,-0.000223,C50H72O2,705.10548,0.00015723852204,0.01115
2fe2s_c,[2Fe-2S] iron-sulfur cluster,-2.5e-05,S2Fe2,175.82,4.3955000000000005e-06,0.0
4fe4s_c,[4Fe-4S] iron-sulfur cluster,-0.000248,S4Fe4,351.64,8.720672e-05,0.0
5mthf_c,5-Methyltetrahydrofolate,-0.000223,C20H24N7O6,458.44786,0.00010223387278,0.00446
accoa_c,Acetyl-CoA,-0.000279,C23H34N7O17P3S,805.539043,0.000224745392997,0.006417
adocbl_c,Adenosylcobalamin,-0.000223,C72H100CoN18O17P,1579.581761,0.00035224673270299996,0.016056
adp_c,ADP C10H12N5O10P2,53.95,C10H12N5O10P2,424.177302,-22.8843654429,-539.5
ala__L_c,L-Alanine,-0.499149,C3H7NO2,89.09318,0.04447077170382,1.497447
amet_c,S-Adenosyl-L-methionine,-0.000223,C15H23N6O5S,399.44532000000004,8.907630636000002e-05,0.003345
arg__L_c,L-Arginine,-0.28742,C6H15N4O2,175.2089,0.050358542038000005,1.72452
asn__L_c,L-Asparagine,-0.234232,C4H8N2O3,132.11792,0.030946244637439998,0.936928
asp__L_c,L-Aspartate,-0.234232,C4H6NO4,132.09474,0.030940815139679997,0.936928
atp_c,ATP C10H12N5O13P3,-54.119975,C10H12N5O13P3,503.149263,27.230425534828427,541.19975
bmocogdp_c,Bis-molybdopterin guanine dinucleotide,-0.000116,C40H44N20O27P4S4Mo,1584.9902040000002,0.000183858863664,0.00464
btn_c,Biotin,-2e-06,C10H15N2O3S,243.3027,4.866053999999999e-07,1.9999999999999998e-05
ca2_c,Calcium,-0.004952,Ca,40.078,0.00019846625600000001,0.0
chor_c,Chorismate,-0.000223,C10H8O6,224.16692,4.998922316e-05,0.00223
cl_c,Chloride,-0.004952,Cl,35.453,0.000175563256,0.0
clpn160_p,"Cardiolipin (tetrahexadecanoyl, n-C16:0)",-0.002944,C73H140O17P2,1351.830022,0.003979787584768001,0.214912
clpn161_p,"Cardiolipin (tetrahexadec-9-enoyl, n-C16:1)",-0.00229,C73H132O17P2,1343.766502,0.00307722528958,0.16716999999999999
clpn181_p,"Cardiolipin (tetraoctadec-11-enoyl, n-C18:1)",-0.00118,C81H148O17P2,1455.9791420000001,0.0017180553875600002,0.09558
coa_c,Coenzyme A,-0.000168,C21H32N7O16P3S,763.5023630000001,0.000128268396984,0.003528
cobalt2_c,Co2+,-2.4e-05,Co,58.9332,1.4143968e-06,0.0
colipa_e,Core oligosaccharide lipid A,-0.008151,C176H303N2O100P4,4171.137464,0.033998941469064,1.434576
ctp_c,CTP C9H12N3O14P3,-0.129799,C9H12N3O14P3,479.124563,0.062189889152837,1.168191
cu2_c,Copper,-0.000674,Cu,63.546,4.2830004000000006e-05,0.0
cys__L_c,L-Cysteine,-0.088988,C3H7NO2S,121.15818,0.01078162412184,0.266964
datp_c,DATP C10H12N5O12P3,-0.024805,C10H12N5O12P3,487.149863,0.012083752351714999,0.24805
dctp_c,DCTP C9H12N3O13P3,-0.025612,C9H12N3O13P3,463.12516300000004,0.011861561674756,0.230508
dgtp_c,DGTP C10H12N5O13P3,-0.025612,C10H12N5O13P3,503.149263,0.012886658923956,0.25612
dttp_c,DTTP C10H13N2O14P3,-0.024805,C10H13N2O14P3,478.136503,0.011860175956915001,0.24805
enter_c,Enterochelin,-0.000223,C30H27N3O15,669.54648,0.00014930886503999999,0.00669
fad_c,Flavin adenine dinucleotide oxidized,-0.000223,C27H31N9O15P2,783.5338620000001,0.00017472805122600003,0.006021
fe2_c,Fe2+ mitochondria,-0.006388,Fe,55.845,0.00035673785999999996,0.0
fe3_c,Iron (Fe3+),-0.007428,Fe,55.845,0.00041481666,0.0
gln__L_c,L-Glutamine,-0.255712,C5H10N2O3,146.1445,0.037370902383999996,1.27856
