metabolite,name,coefficient,formula,formula_weight (g/mol),weight_contribution (g),carbon_content (mol C/mol biomass)
cpd00356_c0,dCTP_c0,-0.0213435009581568,C9H13N3O13P3,464.133103,0.009906225328592788,0.19209150862341118
cpd10515_c0,Fe2+_c0,-0.00309646685192537,Fe,55.845,0.00017292219134577228,0.0
cpd15795_c0,Anteisoheptadecanoylcardiolipin (B. subtilis)_c0,-0.0106480421341882,C77H148O17P2,1407.936342,0.014991765491870807,0.8198992443324914
cpd00042_c0,GSH_c0,-0.00309646685192537,C10H16N3O6S,306.31554,0.0009484959158396198,0.0309646685192537
cpd00016_c0,Pyridoxal phosphate_c0,-0.00309646685192537,C8H9NO6P,246.133921,0.0007621455275109176,0.02477173481540296
cpd00003_c0,NAD_c0,-0.00309646685192537,C21H26N7O14P2,662.4171620000001,0.0020511527842794783,0.06502580389043278
cpd00166_c0,Calomide_c0,-0.00309646685192537,C72H101CoN18O17P,1580.5897009999999,0.004894243615641131,0.22294561333862664
cpd15500_c0,Menaquinone 8_c0,-0.00309646685192537,C51H72O2,717.11618,0.002220526480349347,0.15791980944819387
cpd00357_c0,TTP_c0,-0.0106923382342339,C10H14N2O14P3,479.144443,0.005123174447609606,0.106923382342339
cpd00149_c0,Co2+_c0,-0.00309646685192537,Co,58.9332,0.0001824847002778882,0.0
cpd00205_c0,K+_c0,-0.00309646685192537,K,39.0983,0.0001210665899166337,0.0
cpd00115_c0,dATP_c0,-0.0106923382342339,C10H13N5O12P3,488.157803,0.00521954834135652,0.106923382342339
cpd15560_c0,Ubiquinone-8_c0,-0.00309646685192537,C49H74O4,727.1094600000001,0.002251470340611356,0.15172687574434313
cpd00002_c0,ATP_c0,-40.1101757365074,C10H13N5O13P3,504.157203,20.221834011156037,401.10175736507404
cpd10516_c0,fe3_c0,-0.00309646685192537,Fe,55.845,0.00017292219134577228,0.0
cpd00017_c0,S-Adenosyl-L-methionine_c0,-0.00309646685192537,C15H23N6O5S,399.44532000000004,0.0012368691925367223,0.04644700277888055
cpd00052_c0,CTP_c0,-0.0841036156544863,C9H13N3O14P3,480.13250300000004,0.040380879495538494,0.7569325408903768
cpd15533_c0,phosphatidylethanolamine dioctadecanoyl_c0,-0.0106480421341882,C41H82NO8P,748.065441,0.007965432334898076,0.43656972750171624
cpd00051_c0,L-Arginine_c0,-0.246696822701341,C6H15N4O2,175.2089,0.04322347893899699,1.480180936208046
cpd00028_c0,Heme_c0,-0.00309646685192537,C34H30FeN4O4,614.4714,0.0019026903215561748,0.10527987296546258
cpd00023_c0,L-Glutamate_c0,-0.219088153012743,C5H8NO4,146.12132,0.03201345011458399,1.095440765063715
cpd00008_c0,ADP_c0,40.0,C10H13N5O10P2,425.18524199999996,-17.00740968,-400.0
cpd01997_c0,Dimethylbenzimidazole_c0,0.00309646685192537,C9H10N2,146.1891,-0.0004526697022628031,-0.02786820166732833
cpd00067_c0,H+_c0,40.0,H,1.00794,-0.04031760000000001,0.0
cpd03422_c0,Cobinamide_c0,0.00309646685192537,C48H73CoN11O8,991.0953199999999,-0.003068893805478367,-0.14863040889241777
cpd00012_c0,PPi_c0,0.484589756657213,H2O7P2,175.959202,-0.0852680268787774,0.0
cpd00009_c0,Phosphate_c0,39.9969035331481,HO4P,95.97930099999999,-3.8388748432759843,0.0
Total,,39.76125241981271,,,0.894183095639884,38.330816145611834
